女;Frau
千;tausend
天;Himmel
手;Hand
切;schneiden, gut schneiden / abreißen / zerreißen
収;gut passen, gelöst/geregelt werden, ernten, erzielen (Erfolg), gewinnen
当;treffen, sich bewahrheiten, das große Los gewinnen, einen Erfolg erzielen
百;hundert
味;Geschmack, kosten
珍;selten
校;Schule
集;sich (ver)sammeln / eingesammelt werden (Geld)
達;erreichen
登;steigen (Berg, Hang), klettern (Baum)
歳;Alter
綺;schön
趣;Inhalt, Bedeutung, Sinn
箱;Schachtel (aus Papier), Kiste (aus Holz)
韓;Korea;カン
麗;schön, strahlend, prächtig, glanzvoll
