九;neun
々;(Wiederholungszeichen)
支;unterstützen, beistehen, ernähren (Familie)
少;wenig
月;Monat, Mond
半;Hälfte, Mitte
外;draußen
出;hinausgehen, schicken
代;Vertreter, vertreten, austauschen, Epoche, Zeit
回;(sich) drehen
毎;jeder, jedes
休;sich ausruhen, fehlen (Schule, Firma)
洲;Sandbank
見;sehen
来;kommen
村;Dorf
店;Laden
始;anfangen
所;Ort
夜;Nacht
食;essen
昼;Mittag, mittags
発;Start
音;Laut, Ton
郊;Vorort
起;aufstehen
時;Zeit
勉;sich bemühen
旅;Reise
張;spannen (Saiten), aufschlagen (Zelt)
週;Woche
飲;trinken
朝;Morgen
飯;Mahlzeit, gekochter Reis
勤;dienen, angestellt sein
楽;amüsant
駅;Bahnhof
聞;hören
説;erklären, überreden, predigen
読;lesen
曜;glänzen, Licht, Wochentag
