子;Kind
下;unten
万;zehntausend
方;Richtung, Art, Weise
円;Kreis, Yen, rund
広;breit
札;Karte, Schein
安;billig
利;Gewinn, Vorteil
英;(eine Blume), begabt, Britannien
定;sicher, festgelegt werden
和;friedlich, harmonisch
典;Schrift, Lehre, Quelle
使;benutzen
免;entkommen, entgehen
価;Wert
枚;Gehstock, Peitsche, ZEW flach
苑;Garten, Park
科;Familie, Kategorie, Fakultät
単;einfach
待;warten
保;bewahren, erhalten
独;allein, Deutsch
書;schreiben
捜;suchen (v.a. Verlorenes)
階;Stufe, Leiter. ZEW Stockwerk
証;Beweis, Zeugnis
税;Steuer
預;aufbewahren
辞;Wort, Anspreche, Rede, zurücktreten, kündigen
漢;chin. Han-Dynastie
器;Behälter, Gefäß
暫;eine Weile
簡;Bambusbrett, Brief, einfach
願;bitten, wünschen, hoffen
