士;erwachsener Mann
土;Erde, Land
主;Haupt-
北;Norden
平;flach, gewöhnlich
用;gebrauchen
石;Stein
冬;Winter
多;viel
体;Körper
亜;Asien
林;kleiner Wald
雨;Regen
面;vordere Seite, Gesicht
約;ungefähr, Versprechen
度;Längenmaß, Grad, Mal
南;Süden
風;Wind
咲;blühen
秋;Herbst
原;Feld, Wiese, Ebene, Wildnis
桜;Kirschblüte
候;lauern, Anzeichen, Symptom
帯;Gürtel, Zone
夏;Sommer
理;Vernunft, Logik, Recht
密;geheim, dicht
雪;Schnee
寒;kalt
富;Reichtum
森;großer Wald
湖;Binnensee
道;Straße
温;warm
農;Ackerbau, Landwirtschaft
熱;Fieber, heiß
億;hundert Millionen
積;sich anhäufen
