化;verwandeln, ändern, irreführen
心;Herz
比;vergleichen, Philippinen
市;Stadt, Markt
目;Auge
考;nachdenken, erwägen
床;Bett, Fußboden
決;bestimmen, festsetzen
季;Jahreszeit, Quartal
周;Umkreis
実;Frucht
治;regieren, befrieden, heilen
的;Zielscheibe, (Adjektiv bildend);テキ;もと
政;Regierung, Politik
梅;Pflaume
浴;über sich ergießen
済;beenden, erledigen
頂;Gipfel, bekommen
経;Längsfaden, Sutra, vergehen
晴;sich aufklären (Wetter)
遅;spät
植;pflanzen
然;so ist es, richtig
幌;(Wagen-)Plane;;ほろ
感;sich fühlen, spüren
較;vergleichen, Kontrast
摩;reiben, polieren
穫;ernten
